Type,From,To,Callsign,Number,Aircraft,Company,Scheduled
Arrival,CMH,MDW,SWA4198,WN 4198,Boeing 737-700,Southwest,2025-12-30T18:40:00Z
Arrival,SEA,MDW,SWA2120,WN 2120,Boeing 737-700,Southwest,2025-12-30T18:40:00Z
Arrival,SAV,MDW,SWA3690,WN 3690,Boeing 737-800,Southwest,2025-12-30T18:25:00Z
Arrival,RSW,MDW,SWA3688,WN 3688,Boeing 737-800,Southwest,2025-12-30T14:35:00Z
Arrival,SAN,MDW,SWA2153,WN 2153,Boeing 737-800,Southwest,2025-12-30T18:40:00Z
Arrival,SFO,MDW,SWA1475,WN 1475,Boeing 737-800,Southwest,2025-12-30T18:45:00Z
Arrival,DCA,MDW,SWA215,WN 215,Boeing 737-800,Southwest,2025-12-30T19:00:00Z
Arrival,DTW,MDW,SWA1668,WN 1668,Boeing 737-700,Southwest,2025-12-30T18:55:00Z
Arrival,MLM,MDW,VOI7770,Y4 7770,Airbus A320 NEO,Volaris,2025-12-30T19:04:00Z
Arrival,DAL,MDW,SWA265,WN 265,Boeing 737-700,Southwest,2025-12-30T19:10:00Z
Arrival,PHL,MDW,SWA2047,WN 2047,Boeing 737 MAX 8,Southwest,2025-12-30T19:20:00Z
Arrival,RSW,MDW,SWA3588,WN 3588,Boeing 737,Southwest,2025-12-30T19:00:00Z
Arrival,MSY,MDW,DAL8934,DL 8934,Boeing 757,Delta Air Lines,2025-12-30T19:03:00Z
Arrival,MSY,MDW,DAL8934,9E 8934,Boeing 757,Endeavor Air,2025-12-30T19:03:00Z
Arrival,MSP,MDW,SWA3717,WN 3717,Boeing 737-800,Southwest,2025-12-30T19:15:00Z
Arrival,EWR,MDW,FFT1413,F9 1413,Airbus A320 NEO,Frontier,2025-12-30T19:01:00Z
Arrival,BJX,MDW,VOI7702,Y4 7702,Airbus A320 NEO,Volaris,2025-12-30T18:27:00Z
Arrival,SJC,MDW,SWA3730,WN 3730,Boeing 737 MAX 8,Southwest,2025-12-30T20:05:00Z
Arrival,OMA,MDW,SWA878,WN 878,Boeing 737-800,Southwest,2025-12-30T20:05:00Z
Arrival,LGA,MDW,SWA3446,WN 3446,Boeing 737-800,Southwest,2025-12-30T19:10:00Z
Arrival,DEN,MDW,SWA2402,WN 2402,Boeing 737 MAX 8,Southwest,2025-12-30T19:20:00Z
Arrival,MGC,MDW,N3035W,N3 35W,BT36,Unknown/Private owner,2025-12-30T20:19:00Z
Arrival,DFW,MDW,FFT1888,F9 1888,Airbus A320,Frontier,2025-12-30T19:59:00Z
Arrival,ABQ,MDW,SWA204,WN 204,Boeing 737-800,Southwest,2025-12-30T20:20:00Z
Arrival,JAC,MDW,EJM435,EJM 435,Gulfstream Aerospace IV,Executive Jet Management,2025-12-30T20:29:00Z
Arrival,LAX,MDW,SWA3374,WN 3374,Boeing 737 MAX 8,Southwest,2025-12-30T20:10:00Z
Arrival,MSY,MDW,SWA2556,WN 2556,Boeing 737-800,Southwest,2025-12-30T20:30:00Z
Arrival,RDU,MDW,SWA1907,WN 1907,Boeing 737,Southwest,2025-12-30T20:50:00Z
Arrival,PHX,MDW,SWA4545,WN 4545,Boeing 737-800,Southwest,2025-12-30T20:35:00Z
Arrival,ELP,MDW,SWA1874,WN 1874,Boeing 737-700,Southwest,2025-12-30T21:15:00Z
Arrival,TUL,MDW,SWA2662,WN 2662,Boeing 737-700,Southwest,2025-12-30T20:50:00Z
Arrival,TPA,MDW,SWA4870,WN 4870,Boeing 737 MAX 8,Southwest,2025-12-30T21:10:00Z
Arrival,VPS,MDW,AAY1483,G4 1483,Airbus A319,Allegiant Air,2025-12-30T21:20:00Z
Arrival,BNA,MDW,SWA1191,WN 1191,Boeing 737 MAX 8,Southwest,2025-12-30T21:20:00Z
Arrival,STL,MDW,SWA4438,WN 4438,Boeing 737 MAX 8,Southwest,2025-12-30T21:20:00Z
Arrival,YTZ,MDW,PD 2393,PD 2393,Bombardier Dash 8 Q400 / DHC-8-400,Porter,2025-12-30T21:20:00Z
Arrival,MCO,MDW,SWA3602,WN 3602,Boeing 737-800,Southwest,2025-12-30T20:25:00Z
Arrival,DGO,MDW,VOI7866,Y4 7866,Airbus A320 NEO,Volaris,2025-12-30T21:09:00Z
Arrival,TEB,MDW,EJA924,1I 924,Cessna 680A Citation Latitude,NetJets Aviation,2025-12-30T21:40:00Z
Arrival,MCI,MDW,SWA2257,WN 2257,Boeing 737-800,Southwest,2025-12-30T21:05:00Z
Arrival,MLM,MDW,Y4 7772,Y4 7772,Airbus A320 NEO,Volaris,2025-12-30T21:34:00Z
Arrival,CLE,MDW,SWA2409,WN 2409,Boeing 737-700,Southwest,2025-12-30T21:30:00Z
Arrival,GRB,MDW,EJA690,1I 690,Cessna 680A Citation Latitude,NetJets Aviation,2025-12-30T17:33:00Z
Arrival,ECP,MDW,LXJ605,LXJ 605,Embraer Legacy 500,Flexjet,2025-12-30T20:34:00Z
Arrival,BWI,MDW,SWA3207,WN 3207,Boeing 737-700,Southwest,2025-12-30T21:40:00Z
Arrival,PHX,MDW,SWA4087,WN 4087,Boeing 737 MAX 8,Southwest,2025-12-30T21:35:00Z
Arrival,LAS,MDW,SWA1778,WN 1778,Boeing 737 MAX 8,Southwest,2025-12-30T21:40:00Z
Arrival,AUS,MDW,SWA1484,WN 1484,Boeing 737-800,Southwest,2025-12-30T21:55:00Z
Arrival,BOS,MDW,SWA1432,WN 1432,Boeing 737-800,Southwest,2025-12-30T22:10:00Z
Arrival,DCA,MDW,SWA697,WN 697,Boeing 737 MAX 8,Southwest,2025-12-30T22:20:00Z
Arrival,LGA,MDW,SWA3447,WN 3447,Boeing 737-800,Southwest,2025-12-30T21:35:00Z
Arrival,DEN,MDW,SWA2310,WN 2310,Boeing 737,Southwest,2025-12-30T21:35:00Z
Arrival,ATL,MDW,DAL1739,DL 1739,Boeing 717,Delta Air Lines,2025-12-30T22:20:00Z
Arrival,CMH,MDW,SWA491,WN 491,Boeing 737-700,Southwest,2025-12-30T22:10:00Z
Arrival,FLL,MDW,SWA2429,WN 2429,Boeing 737-700,Southwest,2025-12-30T22:05:00Z
Arrival,STL,MDW,EJA423,1I 423,Embraer Phenom 300,NetJets Aviation,2025-12-30T22:40:00Z
Arrival,DAL,MDW,SWA1776,WN 1776,Boeing 737-700,Southwest,2025-12-30T22:50:00Z
Arrival,PHX,MDW,SWA4401,WN 4401,Boeing 737-700,Southwest,2025-12-30T22:55:00Z
Arrival,PIT,MDW,SWA3042,WN 3042,Boeing 737 MAX 8,Southwest,2025-12-30T22:35:00Z
