Type,Company,Number,Airport,Date,Scheduled,Updated,Gate
Departure,Southwest Airlines,1753,Austin-Bergstrom Intl (AUS),12/20/2025,2:45 PM,2:46 PM,B1
Departure,Southwest Airlines,3562,Ronald Reagan / Washington National (DCA),12/18/2025,2:50 PM,2:50 PM,B10
Departure,Southwest Airlines,4561,LaGuardia (LGA),12/18/2025,2:50 PM,2:50 PM,B22
Arrival,Southwest Airlines,2662,Tulsa Intl (TUL),12/19/2025,2:50 PM,5:51 PM,B15
Arrival,Southwest Airlines,1907,Raleigh-Durham Intl (RDU),12/19/2025,2:50 PM,2:50 PM,A17
Departure,Southwest Airlines,1586,Hartsfield Atlanta Intl (ATL),12/19/2025,2:50 PM,2:50 PM,B11
Departure,Southwest Airlines,2885,William P Hobby (HOU),12/19/2025,2:50 PM,2:53 PM,B9
Departure,Southwest Airlines,2799,Ft Lauderdale / Hollywood Intl (FLL),12/20/2025,2:50 PM,2:51 PM,B17
Departure,Southwest Airlines,1415,John Glenn Columbus Intl (CMH),12/19/2025,2:55 PM,2:55 PM,B19
Departure,Southwest Airlines,1902,Philadelphia Intl (PHL),12/20/2025,3:00 PM,3:00 PM,A16
Departure,Southwest Airlines,3513,Kansas City Intl (MCI),12/20/2025,3:00 PM,3:00 PM,B3
Arrival,Southwest Airlines,2257,Kansas City Intl (MCI),12/19/2025,3:05 PM,3:52 PM,B17
Arrival,Southwest Airlines,4139,Baltimore-Washington Intl (BWI),12/20/2025,3:05 PM,2:55 PM,A15
Arrival,Southwest Airlines,1050,John Glenn Columbus Intl (CMH),12/20/2025,3:05 PM,2:41 PM,B5
Arrival,Volaris,7866,Durango Intl (DGO),12/20/2025,3:09 PM,3:06 PM,
Arrival,Southwest Airlines,4870,Tampa Intl (TPA),12/19/2025,3:10 PM,3:17 PM,A16
Departure,Frontier Airlines,1458,Orlando Intl (MCO),12/19/2025,3:10 PM,3:10 PM,C3
Departure,Southwest Airlines,787,Minneapolis St Paul Intl (MSP),12/19/2025,3:10 PM,3:10 PM,A15
Departure,Southwest Airlines,3810,Ronald Reagan / Washington National (DCA),12/19/2025,3:10 PM,3:43 PM,B17
Departure,Volaris,2170,Orlando Intl (MCO),12/19/2025,3:10 PM,3:10 PM,
Departure,Southwest Airlines,3680,Logan Intl (BOS),12/20/2025,3:10 PM,3:11 PM,B17
Departure,Southwest Airlines,1228,Tulsa Intl (TUL),12/20/2025,3:10 PM,3:10 PM,B9
Arrival,Southwest Airlines,1874,El Paso Intl (ELP),12/19/2025,3:15 PM,2:53 PM,B5
Departure,Southwest Airlines,1897,Detroit Metropolitan (DTW),12/19/2025,3:15 PM,3:19 PM,B2
Departure,Southwest Airlines,1081,Richmond Intl (RIC),12/20/2025,3:15 PM,3:15 PM,B15
Departure,Southwest Airlines,3635,Nashville Intl (BNA),12/20/2025,3:15 PM,3:15 PM,A17
Arrival,Southwest Airlines,3447,LaGuardia (LGA),12/20/2025,3:15 PM,3:11 PM,A18
Arrival,Delta Air Lines,1739,Hartsfield Atlanta Intl (ATL),12/20/2025,3:18 PM,3:18 PM,A10
Arrival,Southwest Airlines,4438,Lambert / St Louis Intl (STL),12/19/2025,3:20 PM,3:31 PM,B3
Arrival,Porter Airlines,2393,City Centre (YTZ),12/19/2025,3:20 PM,3:20 PM,
Arrival,Southwest Airlines,1191,Nashville Intl (BNA),12/19/2025,3:20 PM,3:20 PM,B1
Departure,Southwest Airlines,197,San Francisco Intl (SFO),12/20/2025,3:20 PM,3:45 PM,A11
Departure,Southwest Airlines,4678,Orlando Intl (MCO),12/20/2025,3:20 PM,3:30 PM,B11
Arrival,Porter Airlines,2393,City Centre (YTZ),12/20/2025,3:20 PM,3:59 PM,
Arrival,Frontier Airlines,1888,Dallas Fort Worth Intl (DFW),12/20/2025,3:28 PM,3:06 PM,C1
Arrival,Volaris,2293,Dallas Fort Worth Intl (DFW),12/20/2025,3:28 PM,3:28 PM,
Arrival,Southwest Airlines,2409,Cleveland Hopkins Intl (CLE),12/19/2025,3:30 PM,3:30 PM,B1
Departure,Southwest Airlines,2662,Cleveland Hopkins Intl (CLE),12/19/2025,3:30 PM,6:26 PM,B15
Departure,Southwest Airlines,1482,San Diego Intl (SAN),12/20/2025,3:30 PM,3:40 PM,B7
Arrival,Volaris,7772,Francisco J Mujica Intl (MLM),12/20/2025,3:34 PM,3:32 PM,
Arrival,Southwest Airlines,2310,Denver Intl (DEN),12/19/2025,3:35 PM,6:47 PM,A19
Arrival,Southwest Airlines,4087,Phoenix Sky Harbor Intl (PHX),12/19/2025,3:35 PM,3:35 PM,A19
Arrival,Southwest Airlines,3447,LaGuardia (LGA),12/19/2025,3:35 PM,4:54 PM,A15
Departure,Southwest Airlines,2982,Denver Intl (DEN),12/19/2025,3:35 PM,5:41 PM,A17
Departure,Southwest Airlines,3635,Nashville Intl (BNA),12/19/2025,3:35 PM,3:35 PM,A18
Arrival,Southwest Airlines,1778,Harry Reid Intl (LAS),12/20/2025,3:35 PM,2:58 PM,B2
Arrival,Southwest Airlines,1778,Harry Reid Intl (LAS),12/19/2025,3:40 PM,3:02 PM,B11
Arrival,Southwest Airlines,3207,Baltimore-Washington Intl (BWI),12/19/2025,3:40 PM,3:40 PM,B9
Departure,Southwest Airlines,220,Cancun Intl (CUN),12/20/2025,3:40 PM,3:40 PM,A9
Arrival,Southwest Airlines,1164,Will Rogers World (OKC),12/20/2025,3:40 PM,3:40 PM,A17
Arrival,Southwest Airlines,1136,Tucson Intl (TUS),12/20/2025,3:40 PM,3:26 PM,A16
Departure,Southwest Airlines,1731,Louisville Intl (SDF),12/20/2025,3:45 PM,3:45 PM,A19
Departure,Southwest Airlines,1050,Dallas / Love Field (DAL),12/20/2025,3:45 PM,3:45 PM,B5
Arrival,Southwest Airlines,2348,William P Hobby (HOU),12/20/2025,3:45 PM,3:51 PM,B9
Arrival,Southwest Airlines,1484,Austin-Bergstrom Intl (AUS),12/19/2025,3:55 PM,3:33 PM,A11
Departure,Southwest Airlines,2256,Los Angeles Intl (LAX),12/19/2025,3:55 PM,3:57 PM,A16
Departure,Southwest Airlines,1874,Raleigh-Durham Intl (RDU),12/19/2025,3:55 PM,3:55 PM,B5
Departure,Southwest Airlines,1902,Philadelphia Intl (PHL),12/19/2025,4:00 PM,4:00 PM,A15
Departure,Southwest Airlines,2429,LaGuardia (LGA),12/20/2025,4:00 PM,4:00 PM,A18
Arrival,Southwest Airlines,2050,Minneapolis St Paul Intl (MSP),12/20/2025,4:00 PM,3:34 PM,B17
Departure,Delta Air Lines,1739,Hartsfield Atlanta Intl (ATL),12/20/2025,4:03 PM,4:03 PM,A10
Arrival,Southwest Airlines,2429,Ft Lauderdale / Hollywood Intl (FLL),12/19/2025,4:05 PM,4:09 PM,B20
Departure,Southwest Airlines,3680,Logan Intl (BOS),12/19/2025,4:05 PM,5:03 PM,A19
Departure,Southwest Airlines,3207,Lambert / St Louis Intl (STL),12/20/2025,4:05 PM,4:05 PM,A15
Arrival,Southwest Airlines,491,John Glenn Columbus Intl (CMH),12/19/2025,4:10 PM,3:47 PM,B16
Arrival,Southwest Airlines,1432,Logan Intl (BOS),12/19/2025,4:10 PM,5:11 PM,B2
Departure,Southwest Airlines,1808,Dallas / Love Field (DAL),12/19/2025,4:10 PM,4:11 PM,B3
Departure,Porter Airlines,2394,City Centre (YTZ),12/19/2025,4:15 PM,4:15 PM,
Departure,Southwest Airlines,1228,Tulsa Intl (TUL),12/19/2025,4:15 PM,7:22 PM,A19
Departure,Southwest Airlines,1434,Louis Armstrong New Orleans Intl (MSY),12/19/2025,4:15 PM,4:15 PM,B9
Departure,Porter Airlines,2394,City Centre (YTZ),12/20/2025,4:15 PM,4:15 PM,
Arrival,Volaris,7842,Jesus Teran Intl (AGU),12/19/2025,4:18 PM,4:18 PM,
Arrival,Volaris,7842,Jesus Teran Intl (AGU),12/20/2025,4:18 PM,4:18 PM,
Arrival,Southwest Airlines,697,Ronald Reagan / Washington National (DCA),12/19/2025,4:20 PM,4:20 PM,B21
Departure,Southwest Airlines,3207,Lambert / St Louis Intl (STL),12/19/2025,4:20 PM,4:20 PM,B11
Departure,Southwest Airlines,3716,Harry Reid Intl (LAS),12/19/2025,4:20 PM,4:32 PM,B9
Departure,Southwest Airlines,3716,Harry Reid Intl (LAS),12/20/2025,4:20 PM,4:29 PM,B17
Departure,Southwest Airlines,4306,Los Angeles Intl (LAX),12/20/2025,4:20 PM,4:20 PM,B2
Departure,Southwest Airlines,2713,Charleston Intl (CHS),12/19/2025,4:25 PM,4:25 PM,B3
Departure,Southwest Airlines,4375,Eppley Airfield (OMA),12/20/2025,4:25 PM,4:25 PM,A16
Arrival,Southwest Airlines,1838,Birmingham Intl (BHM),12/20/2025,4:25 PM,4:01 PM,B7
Arrival,Southwest Airlines,1949,El Paso Intl (ELP),12/20/2025,4:25 PM,4:33 PM,B25
Departure,Southwest Airlines,3042,Phoenix Sky Harbor Intl (PHX),12/20/2025,4:30 PM,5:17 PM,B11
Arrival,Southwest Airlines,1483,Kansas City Intl (MCI),12/20/2025,4:30 PM,4:30 PM,B10
Arrival,Delta Air Lines,2060,Hartsfield Atlanta Intl (ATL),12/19/2025,4:31 PM,4:42 PM,A10
Departure,Volaris,7867,Durango Intl (DGO),12/20/2025,4:31 PM,4:49 PM,
Arrival,Southwest Airlines,3042,Pittsburgh Intl (PIT),12/19/2025,4:35 PM,4:35 PM,B12
Arrival,Southwest Airlines,2047,Philadelphia Intl (PHL),12/20/2025,4:35 PM,4:40 PM,B12
Departure,Southwest Airlines,3745,Myrtle Beach Intl (MYR),12/19/2025,4:40 PM,4:40 PM,A11
Departure,Southwest Airlines,2050,Hartsfield Atlanta Intl (ATL),12/20/2025,4:40 PM,4:40 PM,A17
Departure,Southwest Airlines,1482,San Diego Intl (SAN),12/19/2025,4:45 PM,4:49 PM,B14
Arrival,Southwest Airlines,1191,Nashville Intl (BNA),12/20/2025,4:45 PM,4:15 PM,B23
Arrival,Southwest Airlines,3485,Phoenix Sky Harbor Intl (PHX),12/20/2025,4:45 PM,5:02 PM,B17
Arrival,Southwest Airlines,1776,Dallas / Love Field (DAL),12/20/2025,4:45 PM,4:45 PM,B11
Departure,Volaris,7773,Francisco J Mujica Intl (MLM),12/20/2025,4:49 PM,4:49 PM,
Arrival,Southwest Airlines,1776,Dallas / Love Field (DAL),12/19/2025,4:50 PM,4:28 PM,B26
Departure,Southwest Airlines,491,Tampa Intl (TPA),12/19/2025,4:50 PM,5:49 PM,B16
Arrival,Southwest Airlines,4401,Phoenix Sky Harbor Intl (PHX),12/19/2025,4:55 PM,5:31 PM,A16
Arrival,Southwest Airlines,2299,Orlando Intl (MCO),12/20/2025,4:55 PM,4:55 PM,B26
Arrival,Southwest Airlines,1717,Ronald Reagan / Washington National (DCA),12/20/2025,4:55 PM,5:47 PM,B20
Arrival,Southwest Airlines,2348,William P Hobby (HOU),12/19/2025,5:00 PM,5:01 PM,A4A
Arrival,Southwest Airlines,636,Ontario Intl (ONT),12/19/2025,5:05 PM,4:43 PM,B3
Departure,Southwest Airlines,1838,Baltimore-Washington Intl (BWI),12/20/2025,5:05 PM,5:05 PM,B7
Arrival,Southwest Airlines,1043,Sangster Intl (MBJ),12/20/2025,5:05 PM,5:20 PM,A3
Arrival,United Airlines,3803,Bradley Intl (BDL),12/20/2025,5:05 PM,5:21 PM,
Arrival,Southwest Airlines,1838,Southwest Florida Intl (RSW),12/19/2025,5:10 PM,5:40 PM,A9
Departure,Southwest Airlines,4889,Orlando Intl (MCO),12/19/2025,5:10 PM,5:51 PM,B2
Departure,Southwest Airlines,1806,Memphis Intl (MEM),12/20/2025,5:10 PM,5:10 PM,B10
Departure,Southwest Airlines,2530,Ronald Reagan / Washington National (DCA),12/20/2025,5:10 PM,5:13 PM,B25
Arrival,Southwest Airlines,2954,Denver Intl (DEN),12/19/2025,5:15 PM,8:00 PM,B7
Arrival,Southwest Airlines,221,Cancun Intl (CUN),12/19/2025,5:15 PM,5:15 PM,
Departure,Southwest Airlines,396,Savannah Intl (SAV),12/19/2025,5:15 PM,5:15 PM,B21
Departure,Southwest Airlines,3042,Phoenix Sky Harbor Intl (PHX),12/19/2025,5:15 PM,5:15 PM,B12
Arrival,Southwest Airlines,2954,Baltimore-Washington Intl (BWI),12/20/2025,5:15 PM,5:15 PM,B18
Arrival,Delta Air Lines,4169,Minneapolis St Paul Intl (MSP),12/20/2025,5:19 PM,5:19 PM,A12
Departure,Southwest Airlines,491,Tampa Intl (TPA),12/20/2025,5:20 PM,5:20 PM,B12
Arrival,Southwest Airlines,429,Hartsfield Atlanta Intl (ATL),12/19/2025,5:25 PM,5:25 PM,A18
Departure,Southwest Airlines,1776,John Glenn Columbus Intl (CMH),12/19/2025,5:25 PM,5:25 PM,B26
Departure,Southwest Airlines,1434,Louis Armstrong New Orleans Intl (MSY),12/20/2025,5:25 PM,5:25 PM,B23
Arrival,Southwest Airlines,3728,Palm Springs Intl (PSP),12/20/2025,5:25 PM,5:35 PM,A9
Departure,Delta Air Lines,2060,Hartsfield Atlanta Intl (ATL),12/19/2025,5:26 PM,5:26 PM,A10
Arrival,Delta Air Lines,5173,Detroit Metropolitan (DTW),12/20/2025,5:26 PM,5:26 PM,
Departure,Southwest Airlines,2713,Charleston Intl (CHS),12/20/2025,5:30 PM,5:30 PM,B9
Arrival,Southwest Airlines,1405,Lambert / St Louis Intl (STL),12/20/2025,5:30 PM,6:55 PM,B12
Departure,Volaris,7843,Jesus Teran Intl (AGU),12/19/2025,5:33 PM,5:33 PM,A1
Departure,Volaris,7843,Jesus Teran Intl (AGU),12/20/2025,5:33 PM,5:33 PM,
Departure,Southwest Airlines,2465,Austin-Bergstrom Intl (AUS),12/19/2025,5:35 PM,6:06 PM,A16
Departure,Southwest Airlines,1717,Denver Intl (DEN),12/20/2025,5:35 PM,6:32 PM,B20
Departure,Southwest Airlines,1325,Nashville Intl (BNA),12/20/2025,5:35 PM,5:35 PM,B26
Departure,Southwest Airlines,2954,Minneapolis St Paul Intl (MSP),12/20/2025,5:55 PM,5:55 PM,B18
Departure,Southwest Airlines,735,Kansas City Intl (MCI),12/20/2025,5:55 PM,5:55 PM,B17
Departure,Delta Air Lines,3799,Minneapolis St Paul Intl (MSP),12/20/2025,5:59 PM,6:56 PM,A12
Departure,Southwest Airlines,3728,Orlando Intl (MCO),12/20/2025,6:05 PM,6:16 PM,A9
Departure,United Airlines,3751,Chicago O Hare Intl (ORD),12/20/2025,6:05 PM,6:05 PM,
Departure,Southwest Airlines,1462,Dallas / Love Field (DAL),12/20/2025,6:05 PM,7:30 PM,B12
Departure,Delta Air Lines,5176,Detroit Metropolitan (DTW),12/20/2025,6:08 PM,6:08 PM,
Arrival,Southwest Airlines,429,Hartsfield Atlanta Intl (ATL),12/20/2025,6:15 PM,6:15 PM,B9
Arrival,Southwest Airlines,1419,Myrtle Beach Intl (MYR),12/20/2025,6:20 PM,6:20 PM,B10
Arrival,Southwest Airlines,1999,Punta Cana Intl (PUJ),12/20/2025,6:25 PM,7:07 PM,A3
Arrival,Southwest Airlines,3637,Los Cabos Intl (SJD),12/20/2025,6:30 PM,7:09 PM,A2
