Type,Company,Number,Airport,Date,Scheduled,Updated,Gate
Arrival,Southwest Airlines,879,Tucson Intl (TUS),12/18/2025,11:15 AM,11:15 AM,B9
Departure,Southwest Airlines,1550,San Diego Intl (SAN),12/18/2025,11:15 AM,11:15 AM,B3
Departure,Southwest Airlines,3204,Minneapolis St Paul Intl (MSP),12/18/2025,11:15 AM,12:43 PM,A4B
Departure,Southwest Airlines,3252,Bob Hope (BUR),12/19/2025,11:15 AM,12:33 PM,A17
Arrival,Southwest Airlines,4346,Tampa Intl (TPA),12/18/2025,11:25 AM,11:09 AM,B22
Arrival,Southwest Airlines,2609,Minneapolis St Paul Intl (MSP),12/19/2025,11:25 AM,11:38 AM,A17
Arrival,Volaris,7830,General Leobardo C Ruiz Intl (ZCL),12/18/2025,11:27 AM,12:48 PM,
Arrival,Volaris,7830,General Leobardo C Ruiz Intl (ZCL),12/20/2025,11:27 AM,1:46 PM,
Arrival,Southwest Airlines,2363,Oakland Intl (OAK),12/18/2025,11:30 AM,11:18 AM,B25
Departure,Southwest Airlines,4346,Sacramento Intl (SMF),12/19/2025,11:30 AM,12:15 PM,A15
Departure,Southwest Airlines,887,Birmingham Intl (BHM),12/20/2025,11:30 AM,1:57 PM,B15
Arrival,Southwest Airlines,1699,Hartsfield Atlanta Intl (ATL),12/18/2025,11:35 AM,11:15 AM,B26
Arrival,Southwest Airlines,3695,Minneapolis St Paul Intl (MSP),12/18/2025,11:35 AM,11:12 AM,B15
Departure,Southwest Airlines,2952,Orlando Intl (MCO),12/18/2025,11:35 AM,11:35 AM,B23
Departure,Southwest Airlines,644,San Diego Intl (SAN),12/19/2025,11:35 AM,12:28 PM,B7
Departure,Southwest Airlines,2015,John Glenn Columbus Intl (CMH),12/18/2025,11:40 AM,11:47 AM,B12
Departure,Southwest Airlines,4313,Minneapolis St Paul Intl (MSP),12/19/2025,11:40 AM,12:11 PM,B2
Departure,Southwest Airlines,3306,Philadelphia Intl (PHL),12/18/2025,11:45 AM,11:45 AM,B2
Departure,Southwest Airlines,4130,Nashville Intl (BNA),12/19/2025,11:45 AM,12:01 PM,B17
Departure,Delta Air Lines,3778,Minneapolis St Paul Intl (MSP),12/20/2025,11:48 AM,1:40 PM,A10
Departure,Southwest Airlines,2922,William P Hobby (HOU),12/20/2025,11:50 AM,1:03 PM,A11
Arrival,Southwest Airlines,2485,Sacramento Intl (SMF),12/18/2025,11:55 AM,11:37 AM,B21
Arrival,Southwest Airlines,4535,Orlando Intl (MCO),12/18/2025,11:55 AM,11:35 AM,B24
Departure,Southwest Airlines,879,Bradley Intl (BDL),12/18/2025,11:55 AM,11:58 AM,B9
Arrival,Delta Air Lines,2417,Hartsfield Atlanta Intl (ATL),12/19/2025,11:55 AM,12:05 PM,A5
Arrival,Delta Air Lines,2417,Hartsfield Atlanta Intl (ATL),12/18/2025,11:58 AM,12:02 PM,A5
Arrival,Southwest Airlines,1777,Los Angeles Intl (LAX),12/19/2025,12:00 PM,11:39 AM,A19
Departure,Southwest Airlines,3771,Southwest Florida Intl (RSW),12/19/2025,12:00 PM,12:21 PM,A16
Departure,Southwest Airlines,4864,William P Hobby (HOU),12/19/2025,12:00 PM,4:39 PM,B10
Departure,Southwest Airlines,2304,Dallas / Love Field (DAL),12/18/2025,12:05 PM,12:05 PM,B22
Departure,Southwest Airlines,1699,Kansas City Intl (MCI),12/19/2025,12:05 PM,12:32 PM,B15
Departure,Southwest Airlines,1699,Kansas City Intl (MCI),12/18/2025,12:10 PM,12:10 PM,B26
Departure,Southwest Airlines,3695,Ronald Reagan / Washington National (DCA),12/18/2025,12:10 PM,12:10 PM,B15
Departure,Southwest Airlines,3808,Ronald Reagan / Washington National (DCA),12/19/2025,12:10 PM,12:19 PM,B1
Arrival,Southwest Airlines,1939,San Francisco Intl (SFO),12/18/2025,12:15 PM,12:06 PM,A15
Arrival,Southwest Airlines,3206,Harry Reid Intl (LAS),12/19/2025,12:15 PM,12:16 PM,B19
Arrival,Southwest Airlines,3722,Phoenix Sky Harbor Intl (PHX),12/19/2025,12:15 PM,12:05 PM,B3
Departure,Southwest Airlines,4127,Lambert / St Louis Intl (STL),12/20/2025,12:15 PM,12:41 PM,A15
Departure,Southwest Airlines,149,Phoenix Sky Harbor Intl (PHX),12/18/2025,12:20 PM,12:20 PM,B25
Departure,Southwest Airlines,3808,Ronald Reagan / Washington National (DCA),12/20/2025,12:20 PM,1:27 PM,B1
Arrival,Southwest Airlines,4016,Portland Intl (PDX),12/18/2025,12:25 PM,12:01 PM,A19
Arrival,Southwest Airlines,3690,Savannah Intl (SAV),12/19/2025,12:25 PM,12:14 PM,B11
Departure,Southwest Airlines,787,Minneapolis St Paul Intl (MSP),12/20/2025,12:25 PM,12:44 PM,B15
Departure,Southwest Airlines,2120,Baltimore-Washington Intl (BWI),12/20/2025,12:25 PM,12:42 PM,B9
Arrival,Volaris,7702,Guanajuato Intl (BJX),12/18/2025,12:27 PM,12:14 PM,
Arrival,Volaris,7702,Guanajuato Intl (BJX),12/20/2025,12:27 PM,2:20 PM,
Arrival,Southwest Airlines,3722,Phoenix Sky Harbor Intl (PHX),12/18/2025,12:30 PM,12:30 PM,B3
Arrival,Southwest Airlines,1100,Seattle Tacoma Intl (SEA),12/18/2025,12:30 PM,11:58 AM,A11
Arrival,Delta Air Lines,5298,Detroit Metropolitan (DTW),12/18/2025,12:34 PM,12:34 PM,A7
Arrival,Delta Air Lines,5298,Detroit Metropolitan (DTW),12/19/2025,12:34 PM,12:40 PM,A7
Arrival,Southwest Airlines,265,Dallas / Love Field (DAL),12/18/2025,12:35 PM,12:35 PM,B20
Arrival,Southwest Airlines,2529,Denver Intl (DEN),12/18/2025,12:35 PM,12:07 PM,B1
Arrival,Southwest Airlines,2712,Detroit Metropolitan (DTW),12/18/2025,12:35 PM,12:12 PM,A16
Arrival,Southwest Airlines,3058,Ontario Intl (ONT),12/18/2025,12:35 PM,12:25 PM,B19
Departure,Southwest Airlines,745,Harry Reid Intl (LAS),12/18/2025,12:35 PM,12:35 PM,B21
Departure,Southwest Airlines,4535,Denver Intl (DEN),12/18/2025,12:35 PM,12:35 PM,B24
Arrival,Southwest Airlines,3768,San Diego Intl (SAN),12/18/2025,12:40 PM,12:53 PM,A9
Arrival,Southwest Airlines,1484,Austin-Bergstrom Intl (AUS),12/18/2025,12:40 PM,12:12 PM,B7
Arrival,Southwest Airlines,3730,San Jose Intl (SJC),12/18/2025,12:40 PM,12:33 PM,B2
Arrival,Southwest Airlines,1777,Los Angeles Intl (LAX),12/18/2025,12:40 PM,12:39 PM,B14
Arrival,Southwest Airlines,4198,John Glenn Columbus Intl (CMH),12/19/2025,12:40 PM,12:54 PM,B2
Arrival,Southwest Airlines,2153,San Diego Intl (SAN),12/19/2025,12:40 PM,12:20 PM,A18
Arrival,Southwest Airlines,2120,Seattle Tacoma Intl (SEA),12/19/2025,12:40 PM,12:23 PM,A9
Departure,Southwest Airlines,2840,Seattle Tacoma Intl (SEA),12/19/2025,12:40 PM,12:40 PM,A19
Departure,Southwest Airlines,3182,Harry Reid Intl (LAS),12/20/2025,12:40 PM,1:25 PM,A18
Departure,Volaris,7831,General Leobardo C Ruiz Intl (ZCL),12/18/2025,12:42 PM,1:30 PM,A2
Departure,Volaris,7831,General Leobardo C Ruiz Intl (ZCL),12/20/2025,12:42 PM,3:25 PM,A2
Arrival,Southwest Airlines,209,Louis Armstrong New Orleans Intl (MSY),12/18/2025,12:45 PM,12:17 PM,A17
Arrival,Southwest Airlines,215,Ronald Reagan / Washington National (DCA),12/18/2025,12:45 PM,12:45 PM,B11
Arrival,Southwest Airlines,4198,John Glenn Columbus Intl (CMH),12/18/2025,12:45 PM,12:45 PM,B16
Departure,Delta Air Lines,2417,Hartsfield Atlanta Intl (ATL),12/18/2025,12:45 PM,12:45 PM,A5
Arrival,Southwest Airlines,1475,San Francisco Intl (SFO),12/19/2025,12:45 PM,12:54 PM,B7
Departure,Southwest Airlines,2497,Cleveland Hopkins Intl (CLE),12/20/2025,12:45 PM,1:04 PM,B5
Departure,Delta Air Lines,2417,Hartsfield Atlanta Intl (ATL),12/19/2025,12:50 PM,12:58 PM,A5
Departure,Southwest Airlines,3771,Southwest Florida Intl (RSW),12/20/2025,12:50 PM,1:26 PM,B2
Arrival,Southwest Airlines,3157,Ft Lauderdale / Hollywood Intl (FLL),12/20/2025,12:50 PM,1:08 PM,A17
Departure,Southwest Airlines,1939,Hartsfield Atlanta Intl (ATL),12/18/2025,12:55 PM,1:00 PM,A15
Arrival,Southwest Airlines,1668,Detroit Metropolitan (DTW),12/19/2025,12:55 PM,1:25 PM,B15
Departure,Southwest Airlines,4535,Denver Intl (DEN),12/19/2025,12:55 PM,3:01 PM,B19
Departure,Southwest Airlines,3722,LaGuardia (LGA),12/19/2025,12:55 PM,1:54 PM,B3
Arrival,Southwest Airlines,215,Ronald Reagan / Washington National (DCA),12/19/2025,1:00 PM,1:16 PM,A11
Arrival,Frontier Airlines,1413,Newark Liberty Intl (EWR),12/18/2025,1:01 PM,1:07 PM,C2
Arrival,Volaris,7770,Francisco J Mujica Intl (MLM),12/18/2025,1:04 PM,12:52 PM,
Arrival,Volaris,7770,Francisco J Mujica Intl (MLM),12/19/2025,1:04 PM,1:30 PM,
Arrival,Volaris,7770,Francisco J Mujica Intl (MLM),12/20/2025,1:04 PM,1:40 PM,
Arrival,Southwest Airlines,1094,Harry Reid Intl (LAS),12/18/2025,1:05 PM,1:14 PM,B17
Arrival,Southwest Airlines,1561,Cincinnati Northern Kentucky Intl (CVG),12/20/2025,1:05 PM,1:03 PM,B11
Arrival,Delta Air Lines,3795,Minneapolis St Paul Intl (MSP),12/18/2025,1:10 PM,12:49 PM,A5
Arrival,Southwest Airlines,3446,LaGuardia (LGA),12/18/2025,1:10 PM,1:10 PM,B12
Departure,Southwest Airlines,488,Tucson Intl (TUS),12/18/2025,1:10 PM,1:10 PM,A19
Arrival,Delta Air Lines,3795,Minneapolis St Paul Intl (MSP),12/19/2025,1:10 PM,12:46 PM,A5
Arrival,Southwest Airlines,3446,LaGuardia (LGA),12/19/2025,1:10 PM,2:41 PM,A11
Arrival,Southwest Airlines,265,Dallas / Love Field (DAL),12/19/2025,1:10 PM,1:19 PM,B5
Departure,Southwest Airlines,3795,Tampa Intl (TPA),12/19/2025,1:10 PM,1:10 PM,B11
Departure,Southwest Airlines,3795,Tampa Intl (TPA),12/20/2025,1:10 PM,1:24 PM,A16
Arrival,Southwest Airlines,2153,San Diego Intl (SAN),12/20/2025,1:10 PM,12:55 PM,B17
Departure,Delta Air Lines,5298,Detroit Metropolitan (DTW),12/18/2025,1:14 PM,1:14 PM,A7
Departure,Delta Air Lines,5298,Detroit Metropolitan (DTW),12/19/2025,1:14 PM,1:24 PM,A7
Arrival,Southwest Airlines,3717,Minneapolis St Paul Intl (MSP),12/19/2025,1:15 PM,1:25 PM,A16
Departure,Southwest Airlines,3246,El Paso Intl (ELP),12/18/2025,1:20 PM,1:20 PM,B1
Arrival,Southwest Airlines,2402,Denver Intl (DEN),12/19/2025,1:20 PM,1:21 PM,B1
Arrival,Southwest Airlines,2047,Philadelphia Intl (PHL),12/19/2025,1:20 PM,1:03 PM,A19
Departure,Southwest Airlines,4198,Orlando Intl (MCO),12/19/2025,1:20 PM,1:34 PM,B2
Departure,Southwest Airlines,2120,Baltimore-Washington Intl (BWI),12/19/2025,1:20 PM,1:20 PM,A9
Arrival,Frontier Airlines,2143,Hartsfield Atlanta Intl (ATL),12/19/2025,1:21 PM,12:55 PM,C2
Arrival,Frontier Airlines,2143,Hartsfield Atlanta Intl (ATL),12/20/2025,1:21 PM,1:04 PM,C2
Departure,Southwest Airlines,3722,LaGuardia (LGA),12/18/2025,1:25 PM,2:10 PM,B3
Departure,Southwest Airlines,267,Albany Intl (ALB),12/18/2025,1:25 PM,1:25 PM,B2
Departure,Southwest Airlines,674,Pittsburgh Intl (PIT),12/18/2025,1:25 PM,1:25 PM,B7
Departure,Southwest Airlines,2349,Raleigh-Durham Intl (RDU),12/18/2025,1:25 PM,1:33 PM,A9
Departure,Southwest Airlines,3611,Sarasota-Bradenton Intl (SRQ),12/18/2025,1:25 PM,1:25 PM,A16
Departure,Southwest Airlines,3795,Tampa Intl (TPA),12/18/2025,1:25 PM,1:25 PM,A11
Departure,Southwest Airlines,197,San Francisco Intl (SFO),12/19/2025,1:25 PM,1:25 PM,A18
Arrival,Southwest Airlines,265,Dallas / Love Field (DAL),12/20/2025,1:25 PM,1:15 PM,A19
Departure,Southwest Airlines,1964,Cleveland Hopkins Intl (CLE),12/18/2025,1:30 PM,1:30 PM,B20
Departure,Southwest Airlines,2327,William P Hobby (HOU),12/18/2025,1:30 PM,1:30 PM,A17
Departure,Southwest Airlines,3771,Southwest Florida Intl (RSW),12/18/2025,1:30 PM,1:30 PM,B19
Departure,Southwest Airlines,4696,Long Beach (LGB),12/19/2025,1:30 PM,1:44 PM,B7
Arrival,Southwest Airlines,1635,Hartsfield Atlanta Intl (ATL),12/20/2025,1:30 PM,1:22 PM,B15
Arrival,Southwest Airlines,3681,Southwest Florida Intl (RSW),12/18/2025,1:35 PM,1:35 PM,B25
